trial_name,agent_level,agent_id,full_sequence,to_fridge_sequence,return_sequence,chosen_plant_spot,audio_sequence,full_sequence_length,to_fridge_sequence_length,return_sequence_length
snack6,sophisticated,A,"[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (6, 11), (7, 11), (7, 12), (6, 12), (6, 13), (7, 13), (8, 13), (8, 12), (7, 12), (7, 11), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (6, 11), (7, 11), (7, 12), (6, 12), (6, 13), (7, 13), (8, 13)]","[(8, 13), (8, 12), (7, 12), (7, 11), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","(10, 9)","[14, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 18]",32,14,18
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (6, 12), (7, 12), (8, 12), (8, 13), (8, 12), (7, 12), (7, 11), (8, 11), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (6, 12), (7, 12), (8, 12), (8, 13)]","[(8, 13), (8, 12), (7, 12), (7, 11), (8, 11), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","(9, 10)","[12, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 16]",28,12,16
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (6, 10), (7, 10), (8, 10), (8, 11), (7, 11), (7, 12), (8, 12), (8, 13), (7, 13), (7, 12), (6, 12), (6, 11), (7, 11), (7, 10), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (6, 10), (7, 10), (8, 10), (8, 11), (7, 11), (7, 12), (8, 12), (8, 13)]","[(8, 13), (7, 13), (7, 12), (6, 12), (6, 11), (7, 11), (7, 10), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","(9, 9)","[14, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 20]",34,14,20
snack6,sophisticated,A,"[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (6, 10), (7, 10), (7, 11), (8, 11), (8, 12), (8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (6, 10), (7, 10), (7, 11), (8, 11), (8, 12), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","(10, 10)","[12, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 16]",28,12,16
snack6,sophisticated,A,"[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (6, 12), (6, 13), (7, 13), (8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (6, 12), (6, 13), (7, 13), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","(8, 10)","[12, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 16]",28,12,16
snack6,sophisticated,A,"[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (4, 10), (4, 11), (5, 11), (5, 12), (6, 12), (6, 13), (7, 13), (8, 13), (7, 13), (7, 12), (7, 11), (6, 11), (6, 10), (7, 10), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (4, 10), (4, 11), (5, 11), (5, 12), (6, 12), (6, 13), (7, 13), (8, 13)]","[(8, 13), (7, 13), (7, 12), (7, 11), (6, 11), (6, 10), (7, 10), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","(9, 10)","[14, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 20]",34,14,20
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (6, 10), (7, 10), (7, 11), (8, 11), (8, 12), (8, 13), (8, 12), (7, 12), (6, 12), (6, 11), (7, 11), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (6, 10), (7, 10), (7, 11), (8, 11), (8, 12), (8, 13)]","[(8, 13), (8, 12), (7, 12), (6, 12), (6, 11), (7, 11), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","(11, 9)","[12, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 20]",32,12,20
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (6, 10), (6, 11), (7, 11), (7, 12), (7, 13), (8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (7, 10), (6, 10), (5, 10), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (6, 10), (6, 11), (7, 11), (7, 12), (7, 13), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (7, 10), (6, 10), (5, 10), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","(9, 10)","[12, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 16]",28,12,16
snack6,sophisticated,A,"[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (6, 12), (6, 13), (7, 13), (8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (6, 12), (6, 13), (7, 13), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","(8, 9)","[12, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 14]",26,12,14
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (8, 13), (8, 12), (7, 12), (6, 12), (5, 12), (5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (8, 13)]","[(8, 13), (8, 12), (7, 12), (6, 12), (5, 12), (5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","(9, 9)","[12, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 22]",34,12,22
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (6, 10), (5, 10), (5, 11), (5, 12), (5, 13), (6, 13), (7, 13), (8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (6, 10), (5, 10), (5, 11), (5, 12), (5, 13), (6, 13), (7, 13), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","(9, 10)","[14, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 16]",30,14,16
snack6,sophisticated,A,"[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (8, 9), (8, 10), (7, 10), (7, 11), (6, 11), (6, 12), (6, 13), (7, 13), (8, 13), (8, 12), (8, 11), (7, 11), (7, 10), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (8, 9), (8, 10), (7, 10), (7, 11), (6, 11), (6, 12), (6, 13), (7, 13), (8, 13)]","[(8, 13), (8, 12), (8, 11), (7, 11), (7, 10), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","(11, 10)","[16, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 18]",34,16,18
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (5, 10), (5, 11), (6, 11), (7, 11), (7, 12), (8, 12), (8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (5, 10), (5, 11), (6, 11), (7, 11), (7, 12), (8, 12), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","(8, 10)","[14, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 16]",30,14,16
snack6,sophisticated,A,"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (4, 11), (5, 11), (6, 11), (7, 11), (7, 12), (8, 12), (8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (4, 11), (5, 11), (6, 11), (7, 11), (7, 12), (8, 12), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","(10, 10)","[14, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 16]",30,14,16
snack6,sophisticated,A,"[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (7, 10), (6, 10), (6, 11), (6, 12), (7, 12), (7, 13), (8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (7, 10), (6, 10), (6, 11), (6, 12), (7, 12), (7, 13), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","(9, 9)","[14, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 16]",30,14,16
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (7, 10), (7, 11), (6, 11), (6, 12), (6, 13), (7, 13), (8, 13), (8, 12), (7, 12), (7, 11), (7, 10), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (7, 10), (7, 11), (6, 11), (6, 12), (6, 13), (7, 13), (8, 13)]","[(8, 13), (8, 12), (7, 12), (7, 11), (7, 10), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","(9, 9)","[14, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 18]",32,14,18
snack6,sophisticated,A,"[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (7, 10), (7, 11), (7, 12), (8, 12), (8, 13), (8, 12), (7, 12), (7, 11), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (7, 10), (6, 10), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (7, 10), (7, 11), (7, 12), (8, 12), (8, 13)]","[(8, 13), (8, 12), (7, 12), (7, 11), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (7, 10), (6, 10), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","(10, 10)","[12, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 20]",32,12,20
snack6,sophisticated,A,"[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (6, 10), (6, 11), (7, 11), (8, 11), (8, 12), (8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (7, 10), (6, 10), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (6, 10), (6, 11), (7, 11), (8, 11), (8, 12), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (7, 10), (6, 10), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","(10, 10)","[12, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 18]",30,12,18
snack6,sophisticated,A,"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (6, 10), (6, 11), (7, 11), (8, 11), (8, 12), (8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (6, 10), (6, 11), (7, 11), (8, 11), (8, 12), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","(10, 10)","[12, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 16]",28,12,16
snack6,sophisticated,A,"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (7, 10), (8, 10), (8, 11), (8, 12), (8, 13), (7, 13), (7, 12), (8, 12), (8, 11), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (7, 10), (8, 10), (8, 11), (8, 12), (8, 13)]","[(8, 13), (7, 13), (7, 12), (8, 12), (8, 11), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","(10, 9)","[12, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 16]",28,12,16
snack6,sophisticated,B,"[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (10, 10), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13), (8, 12), (7, 12), (6, 12), (5, 12), (5, 11), (5, 10), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (9, 10), (10, 10), (11, 10), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (10, 10), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13)]","[(8, 13), (8, 12), (7, 12), (6, 12), (5, 12), (5, 11), (5, 10), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (9, 10), (10, 10), (11, 10), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","(6, 9)","[12, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 20]",32,12,20
snack6,sophisticated,B,"[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (9, 9), (9, 10), (8, 10), (7, 10), (7, 11), (7, 12), (8, 12), (8, 13), (7, 13), (7, 12), (7, 11), (7, 10), (6, 10), (5, 10), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (9, 9), (9, 10), (8, 10), (7, 10), (7, 11), (7, 12), (8, 12), (8, 13)]","[(8, 13), (7, 13), (7, 12), (7, 11), (7, 10), (6, 10), (5, 10), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","(6, 10)","[14, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 18]",32,14,18
snack6,sophisticated,B,"[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (9, 9), (9, 10), (8, 10), (8, 11), (8, 12), (7, 12), (7, 13), (8, 13), (7, 13), (7, 12), (6, 12), (6, 11), (5, 11), (5, 10), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (9, 9), (9, 10), (8, 10), (8, 11), (8, 12), (7, 12), (7, 13), (8, 13)]","[(8, 13), (7, 13), (7, 12), (6, 12), (6, 11), (5, 11), (5, 10), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","(4, 11)","[14, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 18]",32,14,18
snack6,sophisticated,B,"[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (9, 9), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13), (8, 12), (7, 12), (6, 12), (6, 11), (5, 11), (5, 10), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (9, 9), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13)]","[(8, 13), (8, 12), (7, 12), (6, 12), (6, 11), (5, 11), (5, 10), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","(6, 11)","[12, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 18]",30,12,18
snack6,sophisticated,B,"[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (9, 9), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13), (8, 12), (7, 12), (7, 11), (6, 11), (6, 10), (5, 10), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (9, 9), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13)]","[(8, 13), (8, 12), (7, 12), (7, 11), (6, 11), (6, 10), (5, 10), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","(4, 9)","[12, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 18]",30,12,18
snack6,sophisticated,B,"[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (9, 9), (8, 9), (8, 10), (7, 10), (6, 10), (6, 11), (7, 11), (8, 11), (8, 12), (8, 13), (8, 12), (7, 12), (7, 11), (6, 11), (5, 11), (5, 10), (5, 9), (6, 9), (7, 9), (7, 10), (8, 10), (9, 10), (10, 10), (10, 9), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (9, 9), (8, 9), (8, 10), (7, 10), (6, 10), (6, 11), (7, 11), (8, 11), (8, 12), (8, 13)]","[(8, 13), (8, 12), (7, 12), (7, 11), (6, 11), (5, 11), (5, 10), (5, 9), (6, 9), (7, 9), (7, 10), (8, 10), (9, 10), (10, 10), (10, 9), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","(5, 9)","[16, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 20]",36,16,20
snack6,sophisticated,B,"[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (12, 9), (12, 10), (11, 10), (10, 10), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13), (8, 12), (7, 12), (7, 11), (7, 10), (6, 10), (5, 10), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (12, 9), (12, 10), (11, 10), (10, 10), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13)]","[(8, 13), (8, 12), (7, 12), (7, 11), (7, 10), (6, 10), (5, 10), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","(6, 10)","[14, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 18]",32,14,18
snack6,sophisticated,B,"[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (9, 9), (8, 9), (8, 10), (8, 11), (8, 12), (7, 12), (7, 13), (8, 13), (7, 13), (6, 13), (6, 12), (5, 12), (5, 11), (4, 11), (4, 10), (5, 10), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (9, 9), (8, 9), (8, 10), (8, 11), (8, 12), (7, 12), (7, 13), (8, 13)]","[(8, 13), (7, 13), (6, 13), (6, 12), (5, 12), (5, 11), (4, 11), (4, 10), (5, 10), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","(5, 9)","[14, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 20]",34,14,20
snack6,sophisticated,B,"[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (10, 10), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13), (7, 13), (7, 12), (7, 11), (6, 11), (5, 11), (4, 11), (4, 10), (5, 10), (5, 9), (6, 9), (7, 9), (7, 10), (8, 10), (8, 9), (9, 9), (9, 10), (10, 10), (11, 10), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (10, 10), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13)]","[(8, 13), (7, 13), (7, 12), (7, 11), (6, 11), (5, 11), (4, 11), (4, 10), (5, 10), (5, 9), (6, 9), (7, 9), (7, 10), (8, 10), (8, 9), (9, 9), (9, 10), (10, 10), (11, 10), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","(7, 10)","[12, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 24]",36,12,24
snack6,sophisticated,B,"[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (11, 10), (10, 10), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13), (8, 12), (8, 11), (7, 11), (6, 11), (5, 11), (5, 10), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","[(11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (11, 10), (10, 10), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13)]","[(8, 13), (8, 12), (8, 11), (7, 11), (6, 11), (5, 11), (5, 10), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4)]","(6, 9)","[12, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 18]",30,12,18
